"Name (English)","Region of Focus","Language","Entity owner (English)","Parent entity (English)","TikTok account","TikTok URL","TikTok Subscriber #"
"Wang Yingying (A-Chan / Aちゃん)","Japan","Japanese","China Media Group (CMG)","Central Publicity Department","ajiantoqt78","https://www.tiktok.com/@ajiantoqt78",1722
"Pandaorama","USA","English","China Media Group (CMG)","Central Publicity Department","pandaorama","https://www.tiktok.com/@pandaorama",60700
"People's Daily","China","Chinese","People's Daily Press","Central Committee of the Chinese Communist Party","peoplesdaily","https://www.tiktok.com/@peoplesdaily",2600000
"People's Daily Life","Anglosphere","English","People's Daily Press","Central Committee of the Chinese Communist Party","pdchinalife","https://www.tiktok.com/@pdchinalife",151
"People's Daily App","Anglosphere","English","People's Daily Press","Central Committee of the Chinese Communist Party","peoplesdaily_renminribao","https://www.tiktok.com/@peoplesdaily_renminribao",141200
"Phoenix TV News","Anglosphere","English","Phoenix Media Investment (Holdings) Limited","Bauhinia Culture Holdings Limited","phoenixtvnews","https://www.tiktok.com/@phoenixtvnews",1100000
"Chinese Embassy in Czech Rep.","Czech Rep.","Czech","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chineseembassyinczechia","https://www.tiktok.com/@chineseembassyinczechia",24
"Zhang Shanhui (Mon Pékin Express / Jacky Zhang)","la Francophonie","French","China Media Group (CMG)","Central Publicity Department","shanhuizhang","https://www.tiktok.com/@shanhuizhang",6
"Sun Xueying (Teresa Sun / Un Té con Teresa)","Hispanophone","Spanish","China Media Group (CMG)","Central Publicity Department","unteconteresa","https://www.tiktok.com/@unteconteresa",166900
"Li Yimei (Vica Li)","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","vicalichinese","https://www.tiktok.com/@vicalichinese",8885
"Visit Chongqing","Anglosphere","English","unknown","unknown","visit_chongqing1","https://www.tiktok.com/@visit_chongqing1",46
"Visit Sanya","Hainan","English","Sanya Tourism Board","Sanya Municipal People's Government","discoversanya","https://www.tiktok.com/@discoversanya",6055
"Friendly Shandong","Shandong","English","Shandong Provincial Department of Culture and Tourism","Shandong Provincial People's Government","visitshandong","https://www.tiktok.com/@visitshandong",89500
"Wave Media","Shanghai","English","Shanghai Guanchazhe Information Technology Co.,Ltd","Shanghai Academy of Social Sciences (SASS)","wavemedia2022","https://www.tiktok.com/@wavemedia2022",8685
"Where Zhengzhou","Anglosphere","English","Zhengzhou Media Group","Zhengzhou Municipal Party Committee","wherezhengzhou","https://www.tiktok.com/@wherezhengzhou",5961
"Wuxi, China","Anglosphere","English","China Daily Press","Wuxi Municipal People's Government","wuxi_city","https://www.tiktok.com/@wuxi_city",2309
"Xu Xinchen (Gerald Xinchen)","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","xinchen_gerald","https://www.tiktok.com/@xinchen_gerald",1642
"Xinhua Myanmar (မြန်မာ)","Myanmar","Burmese","Xinhua News Agency","State Council","xinhuamyanmar","https://www.tiktok.com/@xinhuamyanmar",885400
"Zhang Heqing","Pakistan","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","culturalchinacn","https://www.tiktok.com/@culturalchinacn",76
"Yang Yating (Christina Yang)","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","yating_y","https://www.tiktok.com/@yating_y",358800
"Assia","MENA","Arabic","China Media Group (CMG)","Central Publicity Department","assia_in_china","https://www.tiktok.com/@assia_in_china",630100
"CGTN Español","Hispanophone","Spanish","China Media Group (CMG)","Central Publicity Department","cgtnenespanol","https://www.tiktok.com/@cgtnenespanol",561
"Chinese Embassy in South Korea","South Korea","Korean","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chinese_embassy_in_seoul","https://www.tiktok.com/@chinese_embassy_in_seoul",323
"C The Difference","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","cthedifference","https://www.tiktok.com/@cthedifference",625500
"Phoenix Online","China","Chinese","Phoenix Media Investment (Holdings) Limited","Bauhinia Culture Holdings Limited","ifenglobal","https://www.tiktok.com/@ifenglobal",599100
"Jimena Li Yu (Jimena a tu clic)","Hispanophone","Spanish","China Media Group (CMG)","Central Publicity Department","jimenaatuclic","https://www.tiktok.com/@jimenaatuclic",3704
"Xing Luana (Luana em Pequim)","Brazil","Portuguese","China Media Group (CMG)","Central Publicity Department","luanaempequim","https://www.tiktok.com/@luanaempequim",225900
"Mango TV International","Hunan","Chinese","Hunan Satellite TV","Hunan Provincial People's Government","mangotv_international","https://www.tiktok.com/@mangotv_international",150100
"Phoenix US TV (iFeng)","USA","Chinese","Phoenix Media Investment (Holdings) Limited","Bauhinia Culture Holdings Limited","ifengustv","https://www.tiktok.com/@ifengustv",4385
"Hi China","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","hichinaofficial","https://www.tiktok.com/@hichinaofficial",356500
"China International Import Expo (CIIE)","Anglosphere","English","China International Import Expo Bureau","Shanghai Municipal People's Government","ciieonline","https://www.tiktok.com/@ciieonline",4824
"Xinhua Español","Hispanophone","Spanish","Xinhua News Agency","State Council","xinhuaespanol","https://www.tiktok.com/@xinhuaespanol",69
"Hubei Announcements (Open Hubei)","Hubei","Chinese","General Office of the People's Government of Hubei Province","Hubei Provincial People's Government","open.hubei","https://www.tiktok.com/@open.hubei",24
"Phoenix TV (Finance)","China","Chinese","Phoenix Media Investment (Holdings) Limited","Bauhinia Culture Holdings Limited","phoenixtvfinance","https://www.tiktok.com/@phoenixtvfinance",53300
"Phoenix TV","China","Chinese","Phoenix Media Investment (Holdings) Limited","Bauhinia Culture Holdings Limited","www.ifeng.com","https://www.tiktok.com/@www.ifeng.com",35200
"Xinhua London","UK","English","Xinhua News Agency","State Council","xhnewslondon","https://www.tiktok.com/@xhnewslondon",72500
"Xinhua (Spectrum China)","Anglosphere","English","Xinhua News Agency","State Council","1931.11.7.575757","https://www.tiktok.com/@1931.11.7.575757",53
"CCTV3 Variety","China","Chinese","China Media Group (CMG)","Central Publicity Department","cctv_newsandculture","https://www.tiktok.com/@cctv_newsandculture",1113
"CGTN.tiktok","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","cgtn.tiktok","https://www.tiktok.com/@cgtn.tiktok",777
"CGTN Z","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","cgtnz","https://www.tiktok.com/@cgtnz",5565
"Chinese Consulate General in Cape Town","South Africa","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chineseconsulateincpt","https://www.tiktok.com/@chineseconsulateincpt",NA
"China Consulate Osaka","Japan","Japanese","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chnconsul_osaka","https://www.tiktok.com/@chnconsul_osaka",191
"Colorful China","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","colorfulchina","https://www.tiktok.com/@colorfulchina",21
"Discover Ningxia","Anglosphere","English","Department of Culture and Tourism of Ningxia Hui Autonomous Region","Ningxia Hui Autonomous Region People's Government","discoverningxia","https://www.tiktok.com/@discoverningxia",14100
"Discover Tianjin","Anglosphere","English","Department of Culture and Tourism of Tianjin City","Tianjin Municipal People's Government","discovertianjin","https://www.tiktok.com/@discovertianjin",153800
"Global Times (Glamour China)","Anglosphere","English","People's Daily Press","Central Committee of the Chinese Communist Party","glamourchina","https://www.tiktok.com/@glamourchina",2e+06
"Global Watch","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","globalwatch","https://www.tiktok.com/@globalwatch",4
"Haiwai Net (Canada Fusion Media Centre)","Canada","English","People's Daily Press","Central Committee of the Chinese Communist Party","haiwaicanada","https://www.tiktok.com/@haiwaicanada",18700
"Hangzhou 2022","Zhejiang","English","2022 19th Asian Games Organizing Committee","Hangzhou Municipal People's Government","hangzhou2022","https://www.tiktok.com/@hangzhou2022",538
"Henan TV (HNTV)","Henan","Chinese","Henan Broadcasting System","Henan Provincial Committee","henantv","https://www.tiktok.com/@henantv",8489
"Zhang Niki (Hnin Pwint Phyu)","Myanmar","Burmese","China Media Group (CMG)","Central Publicity Department","hninpwintphyu_niki","https://www.tiktok.com/@hninpwintphyu_niki",747500
"Haiwai Net (Japan Fusion Media Center)","Japan","Japanese","People's Daily Press","Central Committee of the Chinese Communist Party","hwwrbrmt","https://www.tiktok.com/@hwwrbrmt",21500
"Wang Iffat","Pakistan","Urdu","China Media Group (CMG)","Central Publicity Department","iffat2023","https://www.tiktok.com/@iffat2023",16700
"iPanda Thailand","Thailand","Thai","China Media Group (CMG)","Central Publicity Department","ipanda_th","https://www.tiktok.com/@ipanda_th",22800
"iPanda (Japanese)","Japan","Japanese","China Media Group (CMG)","Central Publicity Department","ipanda.jp","https://www.tiktok.com/@ipanda.jp",505700
"International Channel Shanghai (ICS)","Shanghai","English","Shanghai Media Group (SMG)","Shanghai Municipal Committee","likechina2021","https://www.tiktok.com/@likechina2021",59100
"Little Turtle Lisa (Elle)","Hainan","English","Sansha Satellite TV (SSTV)","Sansha Municipal People's Government","littleturtlelisa","https://www.tiktok.com/@littleturtlelisa",1100000
"NewsTok","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","newstoks","https://www.tiktok.com/@newstoks",32000
"CGTN Our Planet Needs You","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","ourplanetneedsyou","https://www.tiktok.com/@ourplanetneedsyou",428
"Panda Insight","Anglosphere","English","People's Daily Press","Central Committee of the Chinese Communist Party","panda_insight","https://www.tiktok.com/@panda_insight",104500
"CGTN Razor Science","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","razor_science","https://www.tiktok.com/@razor_science",524
"Xinwen Qishi Lu","Fujian","Chinese","Fujian Radio Film and TV Group (FJTV)","Fujian Provincial Committee","sumonalocal365","https://www.tiktok.com/@sumonalocal365",6
"The Optimist!","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","the...optimist","https://www.tiktok.com/@the...optimist",9237
"CGTN The Agenda","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","theagendashow","https://www.tiktok.com/@theagendashow",318
"Tang Knows","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","tshowyou","https://www.tiktok.com/@tshowyou",353500
"Visit Jiangsu","Jiangsu","English","Jiangsu Provincial Department of Cultural & Tourism","Jiangsu Provincial People's Government","visit_jiangsu","https://www.tiktok.com/@visit_jiangsu",251700
"Visit Beijing","Anglosphere","English","Promotional Centre of Beijing Municipal Bureau of Culture and Tourism","Beijing Municipal People's Government","visitbeijing","https://www.tiktok.com/@visitbeijing",912700
"Visit Shaanxi","Shaanxi","English","Shaanxi Provincial Department of Cultural & Tourism","Shaanxi Provincial People's Government","visitshaanxi","https://www.tiktok.com/@visitshaanxi",12500
"Xinhua New Delhi","India","English","Xinhua News Agency","State Council","xinhuanewdelhi","https://www.tiktok.com/@xinhuanewdelhi",2548
"Zhejiang 520","Anglosphere","English","Zhejiang Provincial Government Information Office","Zhejiang Provincial People's Government","zhejiang520","https://www.tiktok.com/@zhejiang520",27
