"Name (English)","Region of Focus","Language","Entity owner (English)","Parent entity (English)","Instagram page","Instagram URL","Instagram Follower #"
"Xinhua Net","China","Chinese","Xinhua News Agency","State Council","xinhuanetna","https://www.instagram.com/xinhuanetna/?hl=en",1900000
"Shang Yang (Sylvia Shang)","Anglosphere","English","Xinhua News Agency","State Council","wanderlustwithsylvia","https://www.instagram.com/wanderlustwithsylvia/",443
"Xu Li","la Francophonie","French","China Media Group (CMG)","Central Publicity Department","mllesmile_xuli","https://www.instagram.com/mllesmile_xuli",367
"Xu Zeyu Philip","Anglosphere","English","Xinhua News Agency","State Council","real_xuzeyu","https://www.instagram.com/real_xuzeyu",9639
"Saina (Amy Saina)","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","a.saina","https://www.instagram.com/a.saina/",1989
"Jiang Yuan (J'Y Pense)","la Francophonie","French","China Media Group (CMG)","Central Publicity Department","jiangyuaninchina","https://www.instagram.com/jiangyuaninchina",255
"Yang Yating (Christina Yang)","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","christinanayang","https://instagram.com/christinanayang",552
"Assia","MENA","Arabic","China Media Group (CMG)","Central Publicity Department","assia_in_china","https://www.instagram.com/assia_in_china/",63300
"He Beibei","Hispanophone","Spanish","China Media Group (CMG)","Central Publicity Department","beibei823","https://www.instagram.com/beibei823/",142
"Cai Baofeng (Song Siao / ສອງສ່ຽວ)","Laos","Laotian","China Media Group (CMG)","Central Publicity Department","cbf","https://www.instagram.com/cbf/",9392
"CCTV Asia Pacific","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","cctv_asiapacific","https://www.instagram.com/cctv_asiapacific",44700
"CCTV Chinese","China","Chinese","China Media Group (CMG)","Central Publicity Department","cctv.chinese","https://www.instagram.com/cctv.chinese/",80800
"CCTV.com","China","Chinese","China Media Group (CMG)","Central Publicity Department","cctv","https://www.instagram.com/cctv/",939000
"CGTN Nature","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","cgtn_nature","https://www.instagram.com/cgtn_nature/",157
"CGTN Español","Hispanophone","Spanish","China Media Group (CMG)","Central Publicity Department","cgtnenespanol","https://www.instagram.com/cgtnenespanol/",97100
"China Plus Culture","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","china_plus_culture","https://www.instagram.com/china_plus_culture/",12
"Chinese Embassy in Indonesia","Indonesia","Bahasa Indonesia","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chinaembassy_indonesia","https://www.instagram.com/chinaembassy_indonesia/",74900
"Chinese Embassy in Iran","Iran","Persian","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chinaembassy_iran","https://www.instagram.com/chinaembassy_iran/",4344
"Chinese Embassy in Turkey","Türkiye","Turkish","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chinaembassy_turkey","https://www.instagram.com/chinaembassy_turkey",4807
"Chinese Embassy in Kyrgyzstan","Kyrgyzstan","Kyrgyz","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chinaembassyinkg","https://www.instagram.com/chinaembassyinkg/",2082
"Chinese Consulate General in Hamburg","Germany","German","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chinameetsnorddeutschland","https://www.instagram.com/chinameetsnorddeutschland/",234
"China Plus News","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","chinaplusnews","https://www.instagram.com/chinaplusnews/",163
"Chinese Embassy in South Korea","South Korea","Korean","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chinese_embassy_in_seoul","https://www.instagram.com/chinese_embassy_in_seoul/",10500
"Chinese Embassy in Australia","Australia","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","cnauembassy","https://www.instagram.com/cnauembassy/",121
"CRI Nepali","Nepal","Nepalese","China Media Group (CMG)","Central Publicity Department","crinepali","https://www.instagram.com/crinepali/",4120
"CRI Persian","Iran","Persian","China Media Group (CMG)","Central Publicity Department","cripersian","https://www.instagram.com/cripersian/",102000
"CGTN Crossover","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","crossover.cgtn","https://www.instagram.com/crossover.cgtn/",311
"C The Difference","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","cthe.difference","https://www.instagram.com/cthe.difference/",17
"Wu Danni (Danni Report)","Egypt","English","Xinhua News Agency","State Council","danni010389","https://www.instagram.com/danni010389/",257
"Chinese Embassy in Latvia","Latvia","Latvian","Ministry of Foreign Affairs","Ministry of Foreign Affairs","embassyofchinainlatvia","https://www.instagram.com/embassyofchinainlatvia/",7
"Phoenix Online","China","Chinese","Phoenix Media Investment (Holdings) Limited","Bauhinia Culture Holdings Limited","ifenglobal","https://www.instagram.com/ifenglobal/",1126
"Jimena Li Yu (Jimena a tu clic)","Hispanophone","Spanish","China Media Group (CMG)","Central Publicity Department","jimenaatuclic","https://www.instagram.com/jimenaatuclic",995
"Wang Shi (Julian Waghann)","China","Chinese","China Media Group (CMG)","Central Publicity Department","jude1904","https://www.instagram.com/jude1904/",184
"Ou Xiaolan (Lana Ou / Lana لانا)","MENA","Arabic","China Media Group (CMG)","Central Publicity Department","lana_in_china","https://www.instagram.com/lana_in_china/",4833
"Lin Simiao (Anahita Lin)","Iran","Persian","China Media Group (CMG)","Central Publicity Department","linsimiaoanahita","https://www.instagram.com/linsimiaoanahita/",2448
"Xing Luana (Luana em Pequim)","Brazil","Portuguese","China Media Group (CMG)","Central Publicity Department","LuanaemPequim","https://www.instagram.com/LuanaemPequim/",21300
"Lü Qianqian (Lucy Lv)","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","lucylv_list","https://www.instagram.com/lucylv_list/",1050
"Mango TV International","Hunan","Chinese","Hunan Satellite TV","Hunan Provincial People's Government","mgtv","https://www.instagram.com/mgtv/",90000
"Xu Wei (Rain Xu / Ms V / شيو وي)","MENA","Arabic","China Media Group (CMG)","Central Publicity Department","msvchina","https://www.instagram.com/msvchina/?hl=en",19800
"Phoenix HK TV (iFeng)","Hong Kong","Chinese","Phoenix Media Investment (Holdings) Limited","Bauhinia Culture Holdings Limited","phoenixtvhk","https://www.instagram.com/phoenixtvhk/",49000
"Phoenix US TV (iFeng)","USA","Chinese","Phoenix Media Investment (Holdings) Limited","Bauhinia Culture Holdings Limited","phoenixtvus","https://www.instagram.com/phoenixtvus",1744
"Li Zexin (Skystroller)","Anglosphere","English","Xinhua News Agency","State Council","skystrollerpics","https://www.instagram.com/skystrollerpics/",106000
"Zhu Jingtian (Tiantian)","la Francophonie","French","China Media Group (CMG)","Central Publicity Department","tiantianstudio","https://www.instagram.com/tiantianstudio",1822
"Xiao Song","South Korea","Korean","China Media Group (CMG)","Central Publicity Department","xiaosongchinese","https://www.instagram.com/xiaosongchinese",4488
